NodeId	d_1	d_2	clu	clo	n_triad	eig1	eig2
143	31	223	0.092473	0.23118	43	0.091311	0.06798
144	17	185	0.088235	0.098361	12	0.056123	0.057196
145	10	108	0.13333	0.086957	6	0.030049	0.032993
146	13	138	0.26923	0.20096	21	0.044952	0.043155
147	10	114	0.31111	0.17834	14	0.032471	0.035606
148	19	170	0.12281	0.17797	21	0.051231	0.051904
149	13	150	0.051282	0.045455	4	0.038096	0.046378
150	6	73	0.066667	0.024096	1	0.017101	0.023528
151	9	92	0.055556	0.038095	2	0.021743	0.027794
152	8	97	0.071429	0.034783	2	0.022322	0.02999
153	11	121	0.14545	0.1039	8	0.031129	0.037384
154	9	92	0.11111	0.074074	4	0.022913	0.028777
155	12	134	0.10606	0.076503	7	0.041148	0.042417
156	16	141	0.10833	0.13198	13	0.046656	0.044058
157	5	47	0.2	0.063492	2	0.013648	0.015354
158	12	114	0.060606	0.052632	4	0.035723	0.037102
159	13	154	0.10256	0.081218	8	0.044827	0.048935
160	8	93	0.14286	0.070796	4	0.023851	0.029314
161	25	219	0.026667	0.056537	8	0.069556	0.068093
162	9	121	0.055556	0.028369	2	0.030381	0.038058
163	6	58	0.13333	0.054054	2	0.01848	0.020515
164	12	134	0.090909	0.07362	6	0.039607	0.044193
165	11	163	0.14545	0.071111	8	0.050975	0.053106
166	22	194	0.082251	0.13475	19	0.070129	0.061545
167	6	90	0.2	0.05042	3	0.026578	0.029849
168	8	128	0.071429	0.025478	2	0.033858	0.041682
169	8	89	0.10714	0.055556	3	0.023606	0.027872
170	14	110	0.17582	0.20253	16	0.033617	0.033674
171	8	82	0.21429	0.10811	6	0.021781	0.02574
172	11	141	0.12727	0.077348	7	0.036347	0.042806
173	8	116	0.035714	0.015625	1	0.026429	0.037511
174	11	108	0.036364	0.032258	2	0.026107	0.03352
175	8	104	0.14286	0.066116	4	0.024211	0.033133
176	17	126	0.066176	0.10843	9	0.036927	0.039013
177	9	104	0.055556	0.033613	2	0.02433	0.032682
178	14	145	0.076923	0.074866	7	0.042583	0.047033
179	13	106	0.16667	0.16456	13	0.035367	0.033929
180	8	107	0.14286	0.058824	4	0.030697	0.03517
181	12	110	0.045455	0.045113	3	0.03049	0.035697
182	9	113	0.083333	0.044776	3	0.028824	0.035983
183	8	83	0.14286	0.079208	4	0.02358	0.027684
184	5	40	0.3	0.11765	3	0.011826	0.01315
185	8	97	0.32143	0.13433	9	0.031003	0.032259
186	10	95	0.15556	0.10853	7	0.031243	0.031126
187	6	87	0.2	0.059406	3	0.02374	0.029581
188	9	99	0.083333	0.048	3	0.028807	0.031577
189	14	115	0.098901	0.10286	9	0.043467	0.0377
190	9	116	0.19444	0.084848	7	0.036674	0.037306
191	14	140	0.032967	0.035928	3	0.038967	0.044735
192	16	148	0.066667	0.082902	8	0.044601	0.045661
193	8	73	0	0	0	0.01569	0.022939
194	6	61	0.066667	0.03125	1	0.012174	0.018271
195	9	96	0.22222	0.12214	8	0.025974	0.030206
196	9	115	0.083333	0.041958	3	0.027736	0.035188
197	19	187	0.064327	0.086275	11	0.056792	0.057562
198	7	112	0.19048	0.061538	4	0.026089	0.034778
199	10	110	0.13333	0.082759	6	0.029638	0.034699
200	11	157	0.14545	0.07619	8	0.042382	0.048326
201	10	118	0.11111	0.073529	5	0.030178	0.037874
202	11	147	0.10909	0.066667	6	0.038245	0.047018
203	13	114	0.14103	0.13924	11	0.034094	0.035771
